"name","longitude","latitude","prov","date","key","rcID"
"Puma concolor",-122.351733,37.934869,"gbif","2018-09-13",1932306402,"165"
"Puma concolor",-116.780582,33.109839,"gbif","2018-09-15",1913678239,"166"
"Puma concolor",-116.466212,33.096519,"gbif","2018-09-27",1914246890,"167"
"Puma concolor",-122.586228,38.420125,"gbif","2018-09-04",1913202003,"168"
"Puma concolor",-122.127293,37.951462,"gbif","2018-09-30",1914336680,"169"
"Puma concolor",-116.52651,32.69673,"gbif","2018-09-07",1913156564,"170"
"Puma concolor",-121.472249,37.102587,"gbif","2018-09-28",1944394326,"171"
"Puma concolor",-124.349085,40.574292,"gbif","2018-10-06",1920812953,"172"
"Puma concolor",-116.445976,33.139283,"gbif","2018-10-13",1931496901,"173"
"Puma concolor",-118.850472,36.493825,"gbif","2018-10-14",1931505805,"174"
"Puma concolor",-120.255347,39.421524,"gbif","2018-10-02",1914354619,"175"
"Puma concolor",-116.445738,33.139138,"gbif","2018-10-13",1931496905,"176"
"Puma concolor",-99.631103,25.693705,"gbif","2018-10-05",1914367294,"177"
"Puma concolor",-121.480545,37.10964,"gbif","2018-10-07",1933599293,"178"
"Puma concolor",-116.445678,33.139073,"gbif","2018-10-13",1931497237,"179"
"Puma concolor",-116.52512,32.69352,"gbif","2018-10-27",1933571986,"180"
"Puma concolor",-121.472272,37.102617,"gbif","2018-10-07",1944394381,"181"
"Puma concolor",-81.033208,26.358258,"gbif","2018-10-22",1932336137,"182"
"Puma concolor",-118.851503,36.494488,"gbif","2018-10-21",1932332019,"183"
"Puma concolor",-116.617167,32.815286,"gbif","2018-10-07",1920822082,"184"
"Puma concolor",-110.646568,31.991971,"gbif","2018-10-28",1933565901,"185"
"Puma concolor",-116.444997,33.139342,"gbif","2018-10-13",1931496821,"186"
"Puma concolor",-117.682928,33.738078,"gbif","2018-10-07",1920818626,"187"
"Puma concolor",-110.646419,31.985719,"gbif","2018-10-28",1935585350,"188"
"Puma concolor",-120.261747,47.694019,"gbif","2018-10-27",1933581678,"189"
"Puma concolor",-116.619655,32.754084,"gbif","2018-11-03",1935596854,"190"
"Puma concolor",-108.366001,31.132078,"gbif","2018-11-11",1945460334,"191"
"Puma concolor",-121.472021,37.102853,"gbif","2018-11-02",1944394479,"192"
"Puma concolor",-119.88766,39.086283,"gbif","2018-11-14",1986550496,"193"
"Puma concolor",-116.520432,32.701958,"gbif","2018-11-27",1946360679,"194"
"Puma concolor",-122.495926,38.548444,"gbif","2018-11-17",1946332223,"195"
"Puma concolor",-104.968031,37.921656,"gbif","2018-11-20",1946350454,"196"
"Puma concolor",-113.433655,47.125401,"gbif","2018-11-06",1944384729,"197"
"Puma concolor",-121.427642,37.130392,"gbif","2018-11-05",1935614438,"198"
"Puma concolor",-122.47845,38.42625,"gbif","2018-11-17",1946332094,"199"
"Puma concolor",-116.640113,32.754176,"gbif","2018-11-03",1935596845,"200"
"Puma concolor",-118.882095,34.053165,"gbif","2018-11-08",1935629163,"201"
"Puma concolor",-121.41453,37.064444,"gbif","2018-11-12",1944417049,"202"
"Puma concolor",-111.841413,34.94767,"gbif","2018-11-19",1986526092,"203"
"Puma concolor",-118.85537,36.492333,"gbif","2018-11-02",1944385080,"204"
"Puma concolor",-116.489722,33.239722,"gbif","2018-11-23",1949985781,"205"
"Puma concolor",-108.537627,32.655699,"gbif","2018-11-11",1944395316,"206"
"Puma concolor",-121.386743,37.179919,"gbif","2018-11-05",1935614548,"207"
"Puma concolor",-119.098525,34.31095,"gbif","2018-11-07",1935624871,"208"
"Puma concolor",-122.081494,36.990772,"gbif","2018-11-24",1946357481,"209"
"Puma concolor",-116.62617,33.046736,"gbif","2018-11-01",1986613489,"210"
"Puma concolor",-122.410961,38.464806,"gbif","2018-11-20",1978435060,"211"
"Puma concolor",-119.746628,34.538795,"gbif","2018-11-20",1945461832,"212"
"Puma concolor",-120.636422,35.482472,"gbif","2018-11-02",1935621088,"213"
"Puma concolor",-116.522863,32.689445,"gbif","2018-11-16",1945435644,"214"
"Puma concolor",-121.47211,37.102898,"gbif","2018-11-06",1944394523,"215"
"Puma concolor",-119.047604,34.631098,"gbif","2018-11-18",1946328101,"216"
"Puma concolor",-119.987725,34.587158,"gbif","2018-12-12",1978425487,"217"
"Puma concolor",-108.366236,31.132091,"gbif","2018-12-31",1986555776,"218"
"Puma concolor",-116.317376,32.955793,"gbif","2018-12-22",1978851153,"219"
"Puma concolor",-122.601636,38.337719,"gbif","2018-12-31",1986562279,"220"
"Puma concolor",-72.80382,-50.958501,"gbif","2018-12-11",1978836672,"221"
"Puma concolor",-114.027222,34.260362,"gbif","2018-12-27",1986521327,"222"
"Puma concolor",-119.988358,34.587712,"gbif","2018-12-12",1978820433,"223"
"Puma concolor",-121.425362,37.047448,"gbif","2018-12-12",1986607614,"224"
"Puma concolor",-108.359836,31.101915,"gbif","2018-12-28",1986556101,"225"
"Puma concolor",-108.366237,31.132089,"gbif","2018-12-30",1986555748,"226"
"Puma concolor",-119.705108,39.13365,"gbif","2018-12-07",1986550702,"227"
"Puma concolor",-111.825279,40.816387,"gbif","2018-12-15",1978442257,"228"
"Puma concolor",-111.159948,32.389169,"gbif","2018-12-18",1978457083,"229"
"Puma concolor",-100.979939,30.568107,"gbif","2018-12-03",1948768272,"230"
"Puma concolor",-121.707375,37.559587,"gbif","2018-12-09",1950006823,"231"
"Puma concolor",-116.422081,32.855495,"gbif","2018-12-27",1978866270,"232"
"Puma concolor",-116.421806,32.856796,"gbif","2018-12-19",1978462883,"233"
"Puma concolor",-124.075765,41.505025,"gbif","2018-12-08",1950000703,"234"
"Puma concolor",-121.425611,37.047697,"gbif","2018-12-16",1986607143,"235"
"Puma concolor",-121.476882,37.188943,"gbif","2017-01-02",1699386755,"236"
"Puma concolor",-119.213371,34.341324,"gbif","2017-01-17",1453423385,"237"
"Puma concolor",-110.044358,31.917645,"gbif","2017-01-13",1932360251,"238"
"Puma concolor",-122.188447,37.363797,"gbif","2017-01-20",1453377710,"239"
"Puma concolor",-71.935143,-40.00165,"gbif","2017-01-17",1831087676,"240"
"Puma concolor",-81.287934,26.203164,"gbif","2017-01-23",1453374224,"241"
"Puma concolor",-81.678355,26.314212,"gbif","2017-01-01",1847631684,"242"
"Puma concolor",-106.996594,34.169938,"gbif","2017-01-17",1932926499,"243"
"Puma concolor",-106.591888,23.6819,"gbif","2017-01-21",1453369582,"244"
"Puma concolor",-79.20361,9.31208,"gbif","2017-02-13",1836582186,"245"
"Puma concolor",-92.890091,15.771558,"gbif","2017-02-21",1571082267,"246"
"Puma concolor",-116.842413,33.165131,"gbif","2017-02-21",1453469164,"247"
"Puma concolor",-110.196483,31.689197,"gbif","2017-02-09",1807271378,"248"
"Puma concolor",-123.296667,42.925556,"gbif","2017-02-13",1453534634,"249"
"Puma concolor",-106.591857,23.682145,"gbif","2017-02-24",1453498506,"250"
"Puma concolor",-123.010885,38.407448,"gbif","2017-03-27",1455586829,"251"
"Puma concolor",-72.664037,-50.84827,"gbif","2017-03-04",1836565000,"252"
"Puma concolor",-119.202888,34.306004,"gbif","2017-03-19",1457586364,"253"
"Puma concolor",-72.698127,-51.140878,"gbif","2017-03-03",1836565030,"254"
"Puma concolor",-121.35862,37.112293,"gbif","2017-03-24",1457615144,"255"
"Puma concolor",-72.67544,-50.809994,"gbif","2017-03-02",1586954801,"256"
"Puma concolor",-70.198283,6.7121,"gbif","2017-03-22",1822172782,"257"
"Puma concolor",-116.298566,33.13675,"gbif","2017-03-05",1580509832,"258"
"Puma concolor",-119.202867,34.305972,"gbif","2017-03-19",1668886376,"259"
"Puma concolor",-122.266958,38.983828,"gbif","2017-04-14",1572368517,"260"
"Puma concolor",-122.498241,38.370172,"gbif","2017-04-01",1457595726,"261"
"Puma concolor",-116.124053,33.554393,"gbif","2017-04-21",1841196042,"262"
"Puma concolor",-121.477473,36.135065,"gbif","2017-04-14",1500256824,"263"
"Puma concolor",-122.713749,48.08262,"gbif","2017-04-17",1500322263,"264"
"Puma concolor",-118.31083,34.32229,"gbif","2017-04-09",1500335749,"265"
"Puma concolor",-118.31609,34.32124,"gbif","2017-04-17",1500335502,"266"
"Puma concolor",-118.349218,34.01254,"gbif","2017-04-18",1500271829,"267"
"Puma concolor",-122.514472,38.368987,"gbif","2017-04-01",1457596788,"268"
"Puma concolor",-117.742138,34.276965,"gbif","2017-04-17",1500285550,"269"
"Puma concolor",-68.466863,5.575225,"gbif","2017-04-01",1883586553,"270"
"Puma concolor",-116.859049,33.194679,"gbif","2017-04-23",1500312489,"271"
"Puma concolor",-121.574086,49.098451,"gbif","2017-04-23",1500329151,"272"
"Puma concolor",-110.359155,31.32229,"gbif","2017-04-22",1500308695,"273"
"Puma concolor",-68.506215,5.595931,"gbif","2017-04-03",1883586570,"274"
"Puma concolor",-110.790906,32.332541,"gbif","2017-05-31",1920821149,"275"
"Puma concolor",-118.97882,34.3695,"gbif","2017-05-19",1562972331,"276"
"Puma concolor",-121.4257,37.047904,"gbif","2017-05-09",1562924335,"277"
"Puma concolor",-121.476442,37.112635,"gbif","2017-05-22",1562981813,"278"
"Puma concolor",-102.821034,18.341358,"gbif","2017-05-04",1500352874,"279"
"Puma concolor",-102.820761,18.341575,"gbif","2017-05-04",1500353762,"280"
"Puma concolor",-75.710278,4.090194,"gbif","2017-05-13",1703246516,"281"
"Puma concolor",-122.739464,44.630589,"gbif","2017-05-22",1890721525,"282"
"Puma concolor",-110.487459,31.970699,"gbif","2017-05-08",1839276180,"283"
"Puma concolor",-121.35887,37.112425,"gbif","2017-05-28",1571192714,"284"
"Puma concolor",-121.408013,37.068646,"gbif","2017-05-05",1562924398,"285"
"Puma concolor",-102.846606,18.268704,"gbif","2017-05-23",1946355981,"286"
"Puma concolor",-104.820557,20.581367,"gbif","2017-05-09",1571192285,"287"
"Puma concolor",-116.515305,33.66825,"gbif","2017-05-20",1562974048,"288"
"Puma concolor",-84.529214,14.945243,"gbif","2017-05-11",1883972755,"289"
"Puma concolor",-108.536754,32.653001,"gbif","2017-05-07",1883569172,"290"
"Puma concolor",-68.46253,5.59533,"gbif","2017-05-16",1883586369,"291"
"Puma concolor",-104.859009,20.550509,"gbif","2017-05-09",1571192156,"292"
"Puma concolor",-116.820892,34.172383,"gbif","2017-06-11",1802737121,"293"
"Puma concolor",-100.336139,21.314583,"gbif","2017-06-23",1805385155,"294"
"Puma concolor",-124.049378,44.51497,"gbif","2017-06-13",1584403202,"295"
"Puma concolor",-125.004794,49.799276,"gbif","2017-06-17",1802741945,"296"
"Puma concolor",-100.267861,21.398303,"gbif","2017-06-19",1802692454,"297"
"Puma concolor",-105.536005,40.215546,"gbif","2017-06-13",1572389923,"298"
"Puma concolor",-75.10379,6.25207,"gbif","2017-06-18",1884043635,"299"
"Puma concolor",-103.872299,21.869146,"gbif","2017-06-03",1571195514,"300"
"Puma concolor",-121.425751,37.04767,"gbif","2017-06-03",1571107713,"301"
"Puma concolor",-118.707397,34.39793,"gbif","2017-06-27",1571198126,"302"
"Puma concolor",-121.447692,37.066513,"gbif","2017-06-03",1571093944,"303"
"Puma concolor",-116.47017,32.90768,"gbif","2017-06-09",1571140347,"304"
"Puma concolor",-123.914667,44.705454,"gbif","2017-06-09",1880639497,"305"
"Puma concolor",-110.548967,32.222367,"gbif","2017-06-21",1668800901,"306"
"Puma concolor",-125.054947,49.658532,"gbif","2017-06-17",1831234164,"307"
"Puma concolor",-121.408839,37.068838,"gbif","2017-07-26",1586121506,"308"
"Puma concolor",-118.669105,34.409212,"gbif","2017-07-13",1580490886,"309"
"Puma concolor",-123.983192,41.195503,"gbif","2017-07-29",1586109411,"310"
"Puma concolor",-108.372853,31.078289,"gbif","2017-07-16",1802722817,"311"
"Puma concolor",-123.430556,44.588189,"gbif","2017-07-19",1640072330,"312"
"Puma concolor",-98.729429,25.799104,"gbif","2017-07-11",1890067951,"313"
"Puma concolor",-116.554261,32.905708,"gbif","2017-07-21",1584431413,"314"
